Node1,Node2
180123,399352
399352,404214
399352,193283
399352,267658
399352,111719
399352,383480
399352,338760
399352,139342
399352,227252
399352,132294
399352,279040
399352,414079
399352,154857
399352,109401
399352,59882
399352,350852
399352,358605
399352,419167
399352,149682
399352,198033
399352,225620
399352,47713
399352,150923
399352,146838
399352,175284
399352,134217
399352,161869
399352,303259
399352,233601
399352,76150
399352,206245
399352,148478
399352,412785
399352,156663
399352,176634
399352,301873
399352,117784
399352,260286
399352,413432
399352,352212
399352,145469
399352,412839
399352,124430
399352,390549
399352,385387
399352,193646
399352,15520
399352,418264
399352,365504
399352,372526
399352,417368
399352,360566
399352,303420
399352,141376
399352,336164
399352,410666
160086,107928
160086,74871
160086,76423
160086,213392
160086,277473
160086,305549
160086,78857
160086,200347
160086,403694
160086,367064
160086,187662
160086,123803
160086,48018
160086,413244
160086,259043
286069,374775
286069,247369
286069,191402
286069,247452
286069,107897
286069,274377
286069,34839
286069,211617
286069,223901
286069,132977
286069,211579
286069,267800
374775,211582
247369,139875
247369,422840
247369,284855
247369,410672
247369,107897
247369,53891
247369,148266
247369,396042
247369,155212
247369,230682
247369,224452
247369,232833
247369,382249
247369,114343
247369,308520
247369,239862
247369,120567
247369,54689
247369,322207
247369,324568
247369,234015
247369,218108
247369,214970
247369,144959
247369,336752
247369,220272
247369,5493
247369,312788
247369,206375
247369,80316
247369,389005
247369,101115
247369,192821
247369,261442
247369,334896
247369,86626
247369,158745
247369,339397
247369,137803
247369,152764
191402,345424
191402,14367
191402,406050
191402,389805
191402,244993
191402,27080
191402,147470
191402,223901
191402,251752
191402,184365
191402,140297
191402,337755
191402,247457
191402,118205
191402,186805
191402,288071
191402,33918
191402,401643
191402,319867
191402,150528
191402,21362
191402,84232
247452,165247
247452,77891
247452,112059
247452,121445
247452,59953
247452,254231
247452,371995
247452,403685
247452,412884
247452,418578
247452,246357
247452,76868
247452,164908
247452,348163
247452,43199
247452,368365
247452,48907
247452,24061
247452,301510
247452,103543
247452,125648
247452,160814
247452,28289
247452,94130
247452,299821
247452,173273
247452,236696
247452,346092
247452,388357
247452,237559
247452,417
247452,59075
247452,249776
247452,121421
247452,175174
247452,179551
247452,280768
247452,330287
247452,106852
247452,299564
107897,255748
107897,208733
107897,412689
107897,268001
107897,410672
107897,353300
107897,421875
107897,349061
107897,252834
107897,54689
107897,342072
107897,322207
107897,383748
107897,281467
107897,189424
107897,380577
107897,65624
107897,362119
107897,205966
107897,270090
107897,86055
107897,76300
107897,272004
107897,312788
107897,151828
107897,274906
107897,74420
107897,104168
107897,248695
107897,206375
107897,129657
107897,28476
107897,149294
107897,211579
107897,267825
107897,382932
107897,51840
107897,196787
107897,63472
107897,115470
107897,97442
107897,334565
107897,256624
107897,261467
107897,28266
107897,181543
107897,291147
107897,149087
107897,19119
107897,298179
107897,214476
107897,394780
403397,232063
403397,163028
403397,291548
403397,154760
403397,344096
403397,218825
403397,216460
403397,326748
403397,82522
403397,380360
403397,104163
403397,173095
403397,349118
403397,220481
403397,20514
403397,412716
403397,230682
403397,77184
403397,241273
403397,30684
403397,412769
403397,72467
403397,249683
403397,34181
403397,384323
403397,328791
403397,89675
403397,189451
403397,283621
403397,344879
403397,56660
403397,127692
403397,213636
403397,339903
403397,402863
403397,223471
403397,27136
403397,217392
403397,78936
403397,120342
403397,164102
403397,149422
403397,333970
403397,370910
403397,105887
403397,252264
403397,289858
403397,294405
403397,278091
403397,260953
403397,71642
403397,350355
403397,172645
403397,211235
403397,349722
403397,90542
403397,234080
403397,230086
403397,38692
403397,203277
403397,332016
274377,379168
274377,84727
274377,208093
274377,40170
274377,264494
274377,148832
274377,308523
274377,178467
274377,401512
274377,22763
274377,230607
274377,416260
274377,205220
274377,25055
274377,205891
274377,319016
274377,42242
274377,29539
274377,178617
274377,283808
274377,62481
274377,34160
274377,6229
274377,178640
274377,189829
274377,25544
274377,366302
274377,18570
274377,13262
274377,406628
274377,230923
154857,232063
154857,161853
154857,134459
154857,137358
154857,193283
154857,238251
154857,284855
154857,190297
154857,141025
154857,90179
154857,419355
154857,319968
154857,181030
154857,140857
154857,179423
154857,328555
154857,187328
154857,229631
154857,55979
154857,387990
154857,335769
154857,380360
154857,263858
154857,132148
154857,89536
154857,321229
154857,406461
154857,336680
154857,76414
154857,3087
154857,337615
154857,100534
154857,54927
154857,338760
154857,63206
154857,226994
154857,360913
154857,320025
154857,78413
154857,77184
154857,233850
154857,349061
154857,252834
154857,182812
154857,325593
154857,263870
154857,37879
154857,405697
154857,233511
154857,262210
154857,139181
154857,296528
154857,155981
154857,52418
154857,204746
154857,298628
154857,256623
154857,247458
154857,389090
154857,33831
154857,118076
154857,156816
154857,38969
154857,331474
154857,152894
154857,200525
154857,70877
154857,265177
154857,359621
154857,173520
154857,101741
154857,17491
154857,419167
154857,136906
154857,78705
154857,281467
154857,225620
154857,302350
154857,378270
154857,170424
154857,45954
154857,238018
154857,51980
154857,72946
154857,174104
154857,135536
154857,413963
154857,382544
154857,294261
154857,330193
154857,72933
154857,388017
154857,395883
154857,233207
154857,406367
154857,209241
154857,413099
154857,243590
154857,161869
154857,373244
154857,107424
154857,155110
154857,81925
154857,196715
154857,6122
154857,345121
154857,170098
154857,157899
154857,2122
154857,217023
154857,173243
154857,133322
154857,306627
154857,191110
154857,359964
154857,51085
154857,130075
154857,34486
154857,419327
154857,244251
154857,159496
154857,159130
154857,258520
154857,358699
154857,312910
154857,405944
154857,312427
154857,278406
154857,309682
154857,243850
154857,323974
154857,36528
154857,147904
154857,385387
154857,67022
154857,395048
154857,77699
154857,18655
154857,336207
154857,368702
154857,347459
154857,103620
154857,119338
34839,168625
34839,404797
34839,222595
34839,222778
34839,383453
34839,296755
34839,247862
34839,286850
34839,324568
34839,193944
34839,407957
34839,236805
34839,374325
34839,225620
34839,293503
34839,238018
34839,86892
34839,164309
34839,287229
34839,329198
34839,220793
34839,402862
34839,80008
34839,221204
34839,300279
34839,366895
34839,119994
34839,360441
34839,168306
34839,211579
34839,269609
34839,374623
34839,22454
34839,314144
34839,186583
34839,87692
34839,147924
34839,251500
34839,90008
34839,147683
34839,109445
34839,50760
34839,272623
34839,13004
34839,137252
34839,185156
34839,144507
34839,154063
34839,8124
395564,103265
395564,75483
395564,339650
395564,347800
395564,196982
395564,260577
395564,98570
395564,140083
395564,24946
395564,342216
395564,97293
395564,390211
395564,25175
395564,260270
395564,285798
395564,352405
395564,169851
395564,90709
395564,364833
395564,264740
395564,381612
395564,120360
395564,343706
395564,51158
395564,195915
395564,63302
395564,237960
395564,211568
395564,392684
395564,352782
395564,405996
395564,12075
211617,389874
211617,371368
211617,378660
211617,185145
211617,254226
211617,337974
211617,413230
211617,166716
211617,132977
211617,287323
211617,396283
211617,393329
211617,200395
211617,375256
211617,303702
223901,262491
223901,132148
223901,349061
223901,159084
223901,326304
223901,390094
223901,88862
223901,251752
223901,169774
223901,29422
223901,181778
223901,125205
223901,280843
223901,251862
223901,101338
223901,62260
223901,306903
223901,174893
223901,269017
223901,283827
223901,159130
223901,38948
223901,300278
223901,23480
223901,255605
223901,55082
223901,416097
223901,208019
223901,364100
223901,184464
223901,18591
223901,244713
223901,214396
223901,341205
223901,279134
169774,247762
169774,280281
169774,368306
169774,13360
169774,330292
132977,226105
132977,395248
132977,289863
132977,264037
132977,414991
132977,413230
132977,25832
132977,308622
132977,220075
132977,63795
132977,249531
132977,393329
132977,5620
132977,237285
132977,162913
132977,149870
132977,201522
132977,122298
105908,379871
105908,291548
105908,118707
105908,207462
105908,404797
105908,54232
105908,58286
105908,211499
105908,117944
105908,22214
105908,51288
105908,220871
105908,197530
105908,410092
105908,307604
105908,169344
105908,72133
105908,357042
105908,238900
105908,167086
105908,51980
105908,72946
105908,293062
105908,157202
105908,336168
105908,66743
105908,420211
105908,23212
105908,60620
105908,151031
105908,370639
105908,93884
105908,97907
105908,190666
105908,230685
105908,209023
105908,407807
105908,302341
105908,52015
105908,78811
105908,324403
105908,403754
105908,50375
105908,104850
105908,91229
105908,160199
105908,361314
105908,259917
105908,292964
105908,333383
105908,285581
105908,272671
105908,152674
105908,250913
105908,264181
105908,374103
105908,238284
105908,80901
105908,322028
105908,5738
105908,272897
105908,364335
105908,53607
105908,382870
105908,276986
105908,105189
105908,341635
105908,223744
105908,76342
105908,335043
105908,118010
105908,310701
105908,294057
272004,271487
272004,369737
272004,229777
272004,86055
272004,424940
272004,128500
272004,191765
272004,317620
272004,218840
272004,88174
272004,28496
272004,316106
272004,335591
272004,199581
272004,424322
211579,207632
211579,241850
211579,123470
211579,383748
211579,193905
211579,65624
211579,369961
211579,265454
211579,128500
211579,375806
211579,321228
211579,234150
211579,45119
211579,421144
211579,268253
211579,395900
211579,337606
211579,275195
211579,357164
211579,81496
211579,111346
211579,378235
211579,260610
211579,267800
211579,376860
211579,51808
211579,32858
211579,297291
211579,329935
211579,126735
211579,356581
211579,170369
211579,211098
211579,98504
211579,26909
211579,191420
211579,238152
267800,119134
267800,146893
267800,128500
267800,234150
267800,45119
267800,273328
267800,323602
267800,405481
267800,387131
267800,337606
267800,209830
267800,376860
267800,9905
267800,126735
267800,158650
267800,7143
267800,140084
267800,356581
267800,102343
87288,47972
86289,128616
86289,193283
86289,337065
86289,144698
86289,337615
86289,100534
86289,271354
86289,5954
86289,233850
86289,227295
86289,225886
86289,351221
86289,142350
86289,215950
86289,413099
86289,80099
86289,274906
86289,373244
86289,156155
86289,193788
86289,155110
86289,272953
86289,157899
86289,342955
86289,358699
86289,230903
86289,312427
86289,9031
86289,112693
86289,134915
86289,381120
86289,252688
86289,164025
86289,381122
86289,118090
86289,93372
86289,82190
47972,419576
47972,161853
47972,153527
47972,26567
47972,358745
47972,371673
47972,119223
47972,271739
47972,374413
47972,222778
47972,252834
47972,319750
47972,414079
47972,295811
47972,325515
47972,298628
47972,175689
47972,237656
47972,359621
47972,220871
47972,215200
47972,66778
47972,362119
47972,219303
47972,158913
47972,288121
47972,401997
47972,287731
47972,424940
47972,302201
47972,183146
47972,180733
47972,162656
47972,107701
47972,205241
47972,38693
47972,270221
47972,395987
47972,405481
47972,44705
47972,197942
47972,185345
47972,312327
47972,192347
47972,424322
47972,162900
47972,179006
47972,308782
47972,55548
47972,297647
139270,179276
139270,111307
139270,399047
139270,45363
139270,208895
139270,396440
139270,302419
139270,52666
377570,190297
377570,237610
190297,418782
190297,180203
190297,419355
190297,179423
190297,351025
190297,421875
190297,425273
190297,383480
190297,171976
190297,271619
190297,92960
190297,351031
190297,159084
190297,338516
190297,144398
190297,318281
190297,258347
190297,343077
190297,282171
190297,393966
190297,297740
190297,110589
237610,301634
237610,158249
237610,297451
237610,63277
237610,59953
237610,232374
237610,139181
237610,198416
237610,208046
237610,33831
237610,299351
237610,257245
237610,318281
237610,325657
237610,260043
237610,65506
237610,191976
237610,126397
237610,401389
237610,339193
237610,146611
237610,327210
237610,134357
237610,281230
237610,5082
237610,214679
237610,286274
237610,293377
237610,93672
237610,173153
237610,230381
237610,12460
237610,157320
237610,305352
237610,266051
237610,278703
237610,396432
237610,343180
237610,388763
237610,134565
237610,144437
237610,324463
237610,31381
237610,323035
237610,259294
237610,270663
237610,343557
237610,271979
121877,255575
255575,243457
255575,149376
363916,149457
363916,412018
363916,113376
412018,67478
412018,324453
412018,190512
412018,23649
412018,117947
412018,18394
412018,255944
412018,58019
412018,425816
412018,339546
412018,7306
412018,104289
412018,277852
412018,405227
412018,216198
412018,277908
412018,242407
412018,411919
412018,276958
412018,329865
412018,36118
412018,277126
412018,225012
412018,29286
412018,88566
412018,294633
412018,396694
412018,62519
412018,270514
295725,27581
295725,99350
295725,122608
295725,30182
295725,152802
295725,132991
243457,149371
149376,302387
378845,413098
378845,54021
413098,171332
413098,215014
413098,210310
413098,4360
413098,414482
413098,45799
413098,292159
413098,39771
413098,113816
413098,195454
413098,302217
413098,382123
0,117554
316222,123216
316222,324453
316222,176595
316222,187521
316222,44644
316222,26211
316222,95943
324453,232063
324453,162731
324453,117939
324453,257280
324453,36706
324453,318731
324453,75742
324453,51980
324453,142645
324453,130451
324453,139404
324453,281091
324453,235131
23649,24468
23649,276616
23649,113342
23649,235864
23649,151673
23649,286370
23649,189952
23649,302235
23649,206939
23649,424911
23649,11916
23649,364530
23649,271577
117947,322829
117947,58019
117947,86405
117947,43162
117947,340467
117947,92785
117947,95422
18394,360035
18394,270648
18394,378154
18394,391582
18394,353144
18394,291430
18394,38524
18394,60030
18394,376590
18394,379841
18394,40790
18394,378492
18394,278583
18394,266527
18394,9311
18394,239311
18394,191628
18394,328690
18394,414880
18394,347151
18394,162833
18394,88396
18394,114776
18394,372990
18394,88755
18394,308663
18394,270001
18394,47731
18394,102606
18394,346715
18394,280491
18394,46840
18394,261491
18394,126781
18394,141308
18394,409972
18394,251742
18394,366515
18394,268376
18394,33582
18394,378227
18394,320630
18394,142732
18394,350847
18394,103733
18394,411919
18394,388818
18394,120099
18394,362692
18394,250071
18394,284563
18394,319381
18394,317184
18394,25208
18394,332947
18394,343794
18394,392709
18394,185818
18394,36118
18394,291289
18394,168856
18394,291326
18394,138329
18394,65706
18394,48333
18394,34456
18394,153744
18394,120783
18394,272630
18394,389338
18394,51807
18394,421856
18394,183293
18394,155959
18394,180154
255944,182183
255944,123470
255944,224406
255944,271460
255944,383113
255944,273201
255944,331961
255944,297468
255944,114761
255944,86285
255944,329865
255944,13324
255944,23582
255944,90168
255944,351477
255944,41437
255944,95991
255944,312291
255944,235175
255944,376745
255944,381522
255944,77332
255944,381835
58019,55614
58019,397369
58019,212929
58019,248829
58019,97189
58019,35392
58019,425816
58019,17198
58019,285541
58019,234793
58019,287952
58019,414880
58019,311663
58019,214838
58019,251705
58019,155378
58019,131849
58019,235705
58019,159915
58019,157742
58019,279656
58019,70731
58019,380213
58019,395285
58019,166429
58019,112130
58019,224553
58019,262590
58019,294521
58019,216198
58019,191956
58019,400076
58019,284243
58019,174538
58019,149702
58019,98731
58019,374296
58019,164253
58019,247171
58019,176291
58019,217567
58019,71237
58019,397768
58019,66657
58019,167886
58019,280520
58019,390882
58019,210563
58019,147725
58019,173453
58019,39237
58019,268167
58019,372511
58019,126218
58019,167885
58019,328234
58019,296753
58019,270514
58019,389503
58019,207773
58019,130097
58019,276071
58019,13034
58019,214326
58019,207474
58019,378200
58019,287714
58019,335465
58019,298132
58019,129006
58019,100207
425816,274892
425816,321199
425816,273593
425816,367831
425816,188379
425816,133375
425816,187473
425816,200355
425816,387086
425816,411034
425816,309515
425816,57920
425816,111811
425816,40189
425816,113342
425816,417021
425816,397812
425816,335413
425816,416657
425816,421904
425816,356493
425816,210240
425816,294887
425816,5792
425816,301598
425816,260876
425816,399468
425816,234441
425816,6808
425816,86405
425816,110248
425816,410197
425816,123064
425816,104504
425816,134754
425816,238931
425816,100934
425816,329403
425816,43773
425816,362337
425816,268654
425816,381677
425816,289892
425816,92427
425816,77262
425816,286352
425816,383965
425816,234975
425816,393216
425816,68881
425816,321290
425816,39773
425816,183331
425816,325496
425816,261771
425816,291738
425816,303482
425816,60697
425816,168381
425816,380074
425816,2407
425816,384903
425816,266175
425816,84766
425816,139629
425816,344459
425816,169706
425816,248574
425816,225777
425816,370215
425816,394979
425816,122111
425816,359853
425816,108848
425816,383659
425816,153411
425816,126495
425816,383898
425816,250448
425816,185857
425816,157742
425816,289047
425816,170901
425816,264657
425816,223276
425816,405227
425816,47016
425816,84952
425816,200466
425816,183699
425816,409812
425816,402018
425816,336867
425816,309298
425816,229553
425816,259333
425816,353732
425816,76100
425816,208164
425816,260425
425816,256898
425816,167672
425816,409972
425816,238972
425816,64082
425816,47887
425816,246430
425816,203261
425816,379974
425816,408816
425816,229120
425816,230570
425816,43902
425816,49355
425816,164475
425816,107406
425816,24017
425816,269694
425816,170906
425816,61386
425816,118187
425816,21310
425816,335545
425816,146636
425816,314236
425816,71759
425816,42019
425816,76693
425816,306943
425816,242057
425816,234665
425816,191972
425816,372832
425816,377072
425816,207835
425816,92793
425816,218459
425816,18389
425816,122297
425816,97527
425816,361660
425816,77567
425816,149419
425816,418545
425816,399193
425816,403894
425816,229411
425816,256550
425816,166972
425816,196673
425816,230426
425816,249591
425816,164365
425816,171702
425816,277126
425816,340095
425816,355115
425816,62987
425816,29465
425816,384035
425816,123597
425816,345426
425816,158694
425816,73124
425816,291497
425816,351021
425816,325653
425816,85873
425816,191069
425816,113874
425816,111266
425816,309898
425816,75938
425816,153090
425816,124233
425816,301418
425816,386079
425816,139339
425816,260972
425816,252995
425816,243395
425816,210777
425816,135580
425816,265836
425816,122839
425816,220204
425816,292156
425816,389946
425816,377523
425816,226971
425816,129720
425816,67329
425816,131106
116565,373322
116565,181855
116565,275383
116565,270648
116565,315377
116565,379841
116565,341015
116565,327012
116565,53162
116565,388355
