Node1,Node2
13278,79330
13278,20378
13278,84278
13278,47281
13278,41949
13278,85172
13278,48254
13278,12329
13278,95561
13278,18237
13278,55249
13278,37423
13278,11214
13278,74315
13278,25362
13278,49768
13278,98458
13278,35954
13278,87068
13278,28411
13278,69432
13278,52917
13278,56900
13278,68972
13278,87018
13278,29480
13278,10562
13278,18392
13278,24019
13278,10659
13278,98930
46048,77809
46048,71242
46048,14205
46048,38607
46048,61996
46048,73795
46048,15155
46048,25622
46048,14244
46048,90962
46048,22026
46048,79489
46048,24871
46048,49575
46048,88675
46048,96396
46048,21847
46048,30093
46048,42154
46048,83196
46048,55564
46048,51896
46048,76674
46048,31828
46048,28777
46048,61011
46048,75823
46048,22308
46048,30321
46048,96445
46048,27241
46048,55957
46048,65034
46048,72787
46048,23362
46048,10761
46048,97580
46048,54185
46048,37027
46048,42537
46048,22522
46048,61007
46048,88352
46048,82551
46048,92430
46048,15542
46048,28664
46048,33995
46048,83184
46048,45585
46048,92288
46048,40305
42098,15759
42098,85584
42098,62873
42098,30766
42098,54238
42098,12464
42098,25473
42098,41584
42098,11170
42098,85952
42098,25162
42098,15453
42098,41266
42098,60394
42098,76616
42098,21535
42098,35023
42098,14268
42098,50135
42098,85781
42098,79899
42098,31311
42098,18083
42098,92118
42098,93608
42098,50654
42098,89254
42098,55215
42098,31131
42098,71377
42098,79246
42098,52245
42098,49745
42098,44934
42098,75799
42098,81482
42098,40333
42098,89995
42098,67041
42098,27598
42098,76265
42098,71220
42098,20490
42098,58237
42098,87677
42098,88654
42098,70210
42098,91399
42098,26874
42098,57416
39256,99663
39256,87176
39256,40968
39256,97932
39256,61260
39256,90681
39256,93115
39256,88148
39256,89574
39256,60512
39256,56976
39256,38553
39256,24019
39256,53065
39256,92752
39256,96142
39256,82845
39256,44449
39256,97983
39256,87352
39256,36517
39256,47346
39256,25493
39256,84885
39256,17698
39256,18326
39256,30263
39256,45786
39256,64516
39256,92913
39256,91026
39256,52437
39256,33590
39256,22227
39256,65277
39256,81313
39256,64459
39256,11275
39256,88264
39256,91123
39256,99787
39256,60409
39256,16665
39256,30889
39256,17019
39256,39436
39256,42716
39256,99281
39256,42455
39256,97173
39256,20031
39256,21138
39256,25525
39256,18394
39256,70889
39256,73837
39256,75230
39256,71441
39256,64675
39256,27275
39256,57371
39256,48691
28289,81781
28289,21395
28289,91567
28289,49373
28289,76445
28289,60512
28289,48890
28289,64057
28289,23104
28289,97983
28289,80686
28289,15496
28289,18326
28289,19880
28289,89544
28289,15952
28289,81012
28289,81611
28289,48602
28289,29735
28289,34507
28289,77863
28289,98705
28289,23235
28289,27933
28289,51017
28289,27727
28289,58530
28289,59259
28289,30889
28289,42716
28289,12946
28289,20031
28289,60409
28289,36224
28289,76294
28289,73837
28289,10004
28289,20254
23434,60885
23434,42493
23434,61807
23434,86435
23434,22026
23434,85061
23434,93753
23434,23362
23434,28777
23434,40305
23434,54000
23434,47101
23434,87184
23434,71592
23434,75841
23434,92430
23434,37027
23434,18681
23434,61996
23434,82551
23434,30855
23434,94189
23434,25126
23434,83196
23434,71242
23434,46048
23434,36703
23434,42537
23434,22522
23434,76674
23434,33536
23434,80047
23434,22119
23434,83184
23434,18623
23434,76784
23434,33204
23434,80707
23434,25622
23434,45477
23434,24125
23434,51888
23434,38971
23434,49575
23434,11362
23434,21847
23434,66120
23434,65034
23434,61554
23434,97833
23434,31828
23434,54542
23434,75251
23434,96445
23434,27241
23434,54642
